"10","about visitors","Unspecified"
"22","When you voluntarily register for a user account","User without account"
"22","When you voluntarily register for a user account","User without account"
"37","Anyone who intends to use these materials commercially","Other"
"7","about visitors.","User without account"
"9","visitors","User without account"
"10","visitors","User without account"
"19","These sites have their own privacy policies and allow visitors to log in, create profiles, and save information in those profiles.","User with account"
"22","user account","User with account"
"22","user account","User with account"
"22","user account","User with account"
"22","user account","User with account"
"22","user account","User with account"
"22","user account","User with account"
"23","user account","User with account"
"28","parties that wish to be included among the portal's links","Other"
