"7","the visitor's","Unspecified"
"11","Currently enrolled (or recently enrolled) credit students who are registered at one of DCCCD's nine locations","User with account"
"11","Currently enrolled (or recently enrolled) credit students who are registered at one of DCCCD's nine locations","User with account"
"11","Currently enrolled (or recently enrolled) credit students who are registered at one of DCCCD's nine locations","User with account"
"11","Currently enrolled (or recently enrolled) credit students who are registered at one of DCCCD's nine locations","User with account"
"11","Currently enrolled (or recently enrolled) credit students who are registered at one of DCCCD's nine locations","User with account"
"11","Currently enrolled (or recently enrolled) credit students who are registered","User with account"
"12","Currently enrolled (or recently enrolled students) credit students","User with account"
"12","Currently enrolled (or recently enrolled students) credit students","User with account"
"12","Currently enrolled (or recently enrolled students) credit students","User with account"
"12","Currently enrolled (or recently enrolled students) credit students","User with account"
"12","Currently enrolled (or recently enrolled students) credit students","User with account"
"13","your student record","User with account"
"13","Dallas TeleCollege students","User with account"
