"70","you may review,","View"
"70","update","Edit information"
"70","However, Personal Information that is necessary to check eligibility, such as date of birth or age, cannot be deleted, but may be modified with sufficient verification of the correct information.","Delete account (partial)"
"70","Generally, you may review, update or delete certain Information collected by the Site by clicking ""Account"" on the homepage to sign in to your Site account with your User ID to change, update or deactivate your Personal Information. However, Personal Information that is necessary to check eligibility, such as date of birth or age, cannot be deleted, but may be modified with sufficient verification of the correct information. We will allow you to change the password portion of your User ID, as well as certain other Information you have given us in order to keep your information current, but once you select a user name you will not be able to change that user name provided to us during registration and which is associated with your User ID.","Edit information"
"71","You may also exercise certain privacy settings options by, if you are a registered user of the Site and logged into the Site, clicking ""Profile"" or your display name at the top of the Site, selecting ""Edit Profile"" or ""Manage Account"" and selecting the ""Privacy"" tab.","Other"
"73","If the burden or expense of providing access to your Information is disproportionate to the risks to your privacy or if the legitimate rights of others would be violated, we may decide not to provide access to such Information. In such cases, we will provide to you an explanation of why access cannot be provided and contact information for further inquiries","Other"
"73","If the burden or expense of providing access to your Information is disproportionate to the risks to your privacy or if the legitimate rights of others would be violated, we may decide not to provide access to such Information. In such cases, we will provide to you an explanation of why access cannot be provided and contact information for further inquiries.","Other"
"30","deactivate your account","Deactivate account"
"30","change or edit","Edit information"
"70","review, update or delete","Edit information"
"70","cannot be deleted, but may be modified with sufficient verification of the correct information","Edit information"
"70","you will not be able to change that user name","None"
"72","deleted upon the user's request","Other"
"73","If the burden or expense of providing access to your Information is disproportionate to the risks to your privacy or if the legitimate rights of others would be violated, we may decide not to provide access to such Information.","None"
"75","Parents of children or Ineligible Teenagers who wish to terminate their child's or Ineligible Teenager's membership must use their child's or Ineligible Teenager's User ID to gain direct access to the account, and follow the procedures in the ""Deactivation/Termination of Your Registration or Use"" Section of the Terms of Use Agreement to terminate their child's or Ineligible Teenager's member;","Delete account (full)"
