"68","Your continued use","Other"
"1","Effective Date: March 5, 2014","Unspecified"
"10","Changes to this Privacy Policy","Unspecified"
"23","To notify you about changes to our Services","Unspecified"
"67","It is our policy to post any changes we make to our Privacy Policy on this page","Unspecified"
"67","It is our policy to post any changes we make to our Privacy Policy on this page","Unspecified"
"67","If we make material changes to how we treat our users information,","Unspecified"
"67","If we make material changes to how we treat our users information,","Unspecified"
"68","Your continued use of the Services after such modifications will constitute your: (a) acknowledgment of the modified Privacy Policy; and (b) agreement to abide and be bound by the modified Privacy Policy.","User participation"
"69","If we make material changes to how we use Personal Information collected from children under 13, we will notify parents by email in order to obtain verifiable parental consent for the new uses of their childs Personally Identifiable Information.","Unspecified"
"68","continued use of the Services after such modifications will constitute your: (a) acknowledgment of the modified Privacy Policy; and (b) agreement to abide and be bound by the modified Privacy Policy","None"
"69","n order to obtain verifiable parental consent for the new uses of their childs Personally Identifiable Information","Unspecified"
