"8","Your username, password and e-mail address","Contact"
"8","Profile information that you provide for your user profile (e.g., first and last name, picture, phone number)","User profile"
"8","User Content","Social media data"
"8","Communications between you and Instagram. For example, we may send you Service-related emails (e.g., account verification, changes/updates to features of the Service, technical and security notices).","Other"
"11","including","Other"
"11","the web pages you visit","User online activities"
"11","add-ons","Cookies and tracking elements"
"12","cookies and similar technologies like pixels, web beacons, and local storag","Cookies and tracking elements"
"12","cookies and similar technologies like pixels, web beacons, and local storag","Cookies and tracking elements"
"13","log file information, including","Other"
"13","referring / exit pages and URLs, number of clicks and how you interact with links on the Service, domain names, landing pages, pages viewed, and other such information","User online activities"
"13","browser type","Computer information"
"13","Internet Protocol (""IP"") address","IP address and device IDs"
"14","""device identifiers.""","IP address and device IDs"
"14","""device identifiers.""","IP address and device IDs"
"14","""device identifiers.""","IP address and device IDs"
"16","information","Generic personal information"
"16","information","Generic personal information"
"16","information","Generic personal information"
"16","information","Generic personal information"
"17","your information","Generic personal information"
"19","User Content","Other"
"19","information from cookies","Cookies and tracking elements"
"19","device identifiers","IP address and device IDs"
"19","location data","Location"
"19","usage data","User online activities"
"20","your information","Generic personal information"
"20","cookies","Cookies and tracking elements"
"20","log files","Other"
"20","device identifiers","IP address and device IDs"
"20","location data","Location"
"21","information such as","Other"
"21","cookie data","Cookies and tracking elements"
"22","data","Unspecified"
"23","Any information or content that you voluntarily disclose","Other"
"24","your information such as","Other"
"24","name and email address","Contact"
"25","your information","Generic personal information"
"33","information (including","Other"
"33","your profile information)","User profile"
"2",", but we want to make sure you understand that you still have control over who sees your photos.","Other"
"2","You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love.","Other"
"5","post content, including photos, comments and other materials (""User Content""),","User profile"
"7","he following types of information","Unspecified"
"8","Your username, password and e-mail address","Contact"
"8","Profile information","User profile"
"8","User Content (e.g., photos, comments, and other materials)","User online activities"
"8","Communications between you and Instagram.","Other"
"9","will access your contacts list","Contact"
"9","hen you will be prompted to set up a link to the third-party service and you understand that any information","Social media data"
"11","traffic and usage trends","Other"
"11","information sent by your device or our Service, including the web pages you visit, add-ons,","User online activities"
"11","and other information that assists us in improving the Service.","Unspecified"
"12","we may use cookies and similar technologies like pixels, web beacons, and local storage","Cookies and tracking elements"
"12","which may use cookies or similar technologies","Cookies and tracking elements"
"12","which may use cookies or similar technologies","Cookies and tracking elements"
"13","request to access (i.e., visit) a web page or app","User online activities"
"13","log file information, including your web request","User online activities"
"13","Internet Protocol (""IP"") address,","IP address and device IDs"
"14","one or more ""device identifiers.""","IP address and device IDs"
"14","one or more ""device identifiers.""","IP address and device IDs"
"14","one or more ""device identifiers.""","IP address and device IDs"
"16","information","Unspecified"
"16","information","Unspecified"
"16","information","Unspecified"
"16","information","Unspecified"
"17","your information","Unspecified"
"19","User Content","Other"
"19","User Content","Other"
"19","information from cookies","Cookies and tracking elements"
"19","device identifiers,","IP address and device IDs"
"19","ocation data","Location"
"19","usage data","User online activities"
"20","to your information","Unspecified"
"20","nformation as well as information from tools like cookies","Cookies and tracking elements"
"20","log files, and device identifiers","IP address and device IDs"
"20","location data","Location"
"21","certain information such as cookie data","Cookies and tracking elements"
"22","information","Unspecified"
"23","Any information or content that you voluntarily disclose for posting to the Service, such as User Content","Other"
"23","as controlled by any applicable privacy settings that you set. To change your privacy settings on the Service, please change your profile setting.","Other"
"23","any User Content","Other"
"23","information","Unspecified"
"24","your information such as name and email address","Contact"
"25","your information","Unspecified"
"27","Your information","Unspecified"
"28","information","Unspecified"
"32","email communications","Contact"
"33","information (including your profile information) and User Content","Other"
"2","your Instagram photos,","User profile"
"2","your photos on Facebook.","Social media data"
"5","any of your User Content","User Profile"
"5","any of your User Content","User Profile"
"5","any of your User Content","User Profile"
"8","Your username, password","User profile"
"8","e-mail address","Contact"
"8","Profile information that you provide for your user profile","User profile"
"8","first and last name, picture, phone number","Contact"
"8","User Content (e.g., photos, comments, and other materials)","User profile"
"8","Communications between you and Instagram.","Other"
"9","contacts list","Contact"
"9","any information","Unspecified"
"9","name","Contact"
"10","text or email","Contact"
"11","web pages you visit","User online activities"
"11","web pages you visit","User online activities"
"11","add-ons","Computer information"
"11","add-ons","Computer information"
"11","other information","Unspecified"
"11","other information","Unspecified"
"12","cookies and similar technologies like pixels, web beacons, and local storage","Cookies and tracking elements"
"12","cookies and similar technologies like pixels, web beacons, and local storage","Cookies and tracking elements"
"12","cookies or similar technologies","Cookies and tracking elements"
"12","cookies or similar technologies","Cookies and tracking elements"
"13","Log file information","Other"
"13","certain log file information,","Other"
"13","Internet Protocol (""IP"") address","IP address and device IDs"
"13","browser type","Computer information"
"13","referring / exit pages and URLs, number of clicks and how you interact with links on the Service, domain names, landing pages, pages viewed","User online activities"
"13","other such information","Unspecified"
"13","which emails are opened and which links are clicked by recipients.","User online activities"
"14","device identifier","IP address and device IDs"
"14","how you browse and use the Service","User online activities"
"14","device identifier","IP address and device IDs"
"14","how you browse and use the Service","User online activities"
"14","device identifier","IP address and device IDs"
"14","how you browse and use the Service","User online activities"
