"9","certain information,","Unspecified"
"14","we have placed on your browser.","First party collection"
"14","You can limit the way that we tailor advertising based on your self-reported interests","First party use"
"17","Cookies can be removed by following your Internet browser's directions within the help tab.","First party collection"
"22","cookies","Third party use"
"22","You can choose to limit Behavioral Advertising","First party use"
"22","You can choose to limit Behavioral Advertising","Third party sharing/collection"
"22","You can choose to limit Behavioral Advertising","Third party use"
"23","Many third party vendors that engage in Behavioral Advertising participate in the Network Advertising Initiative (NAI) and/or the Digital Advertising Alliance (DAA) and abide by NAI and/or DAA principles. If you wish to opt out of participating in advertising programs conducted by NAI and DAA members or learn more about the NAI and DAA, please go to the NAI Opt-Out website and DAA Choice Page and follow the instructions. After you opt-out, you will still see advertisements, but the advertising may not be as relevant to your interests. If you change your computer, change your browser or delete your cookies, you will need to renew your opt-out.","Third party sharing/collection"
"24","If you do not want us to use","First party use"
"24","disclose","Third party sharing/collection"
"24","If you do not want us to use or disclose Personal Information collected about you in the ways identified in this Policy, you should not use the Site or Services.","First party use"
"24","hird parties","Third party sharing/collection"
"31","extent that you give us permission at the time of collection","Collection"
"31","extent that you give us permission at the time of collection","Collection"
"35","promotional communications from us you","First party use"
"35","promotional communications from us you","First party use"
"35","When you receive promotional communications from us you will have the opportunity to ""opt-out"" by following the unsubscribe instructions provided in the promotional e-mail or newsletter you receive","First party use"
"35","by editing your preference to receive these communications within the ""Manage My Email"" or similar feature on the individual Sites when you are logged in as a registered user.","First party use"
"35","unsubscribe instructions provided in the promotional e-mail or newsletter you receive or by editing your preference to receive these communications within the ""Manage My Email"" or similar feature on the individual Sites when you are logged in as a registered user.","First party use"
