"2","the mobile application will remain logged in to your information","First party collection"
"2","you will be asked whether you want the mobile application to remember you. If you choose yes, the mobile application will remain logged in to your information. At any time you can choose to log out by choosing the logout button on the application.","Unspecified"
"4","you will be asked to submit personal information, which will be subject to the Give Me More Stripes terms and conditions, separate privacy policy and other policies.","Collection"
"4","you will be asked to submit personal information, which will be subject to the Give Me More Stripes terms and conditions, separate privacy policy and other policies.","Collection"
"7","never send messages","First party use"
"7","to never send messages to website users unless they request that we do so.","First party use"
"8","you voluntarily provide at those sites will only be shared","Both"
"12","collection of information","Collection"
"14","you may receive text messages regarding that promotion or giveaway","First party use"
"14","you may receive text messages regarding that promotion or giveaway","First party use"
"14","wish to no longer receive those emails","First party use"
"14","wish to no longer receive those emails","First party use"
"1","your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays.","Collection"
"1","your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays.","Collection"
"1","your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays.","Collection"
"1","your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays.","Collection"
"4","information","Collection"
"4","information","Collection"
"4","submit personal information,","Collection"
"4","submit personal information,","Collection"
"5","voluntary surveys","Collection"
"7","that we do so.","Use"
"8","the information you voluntarily provide at those sites","Collection"
"8","The information","Collection"
"14","If you have opted in to receive email communications from TGI Fridays (and are NOT a Give Me More Stripes member) and wish to no longer receive those emails,","First party use"
"14","If you have opted in to receive email communications from TGI Fridays (and are NOT a Give Me More Stripes member) and wish to no longer receive those emails,","First party use"
"14","receive notifications via text message","First party use"
