"6","dvertisers use this information to monitor the performance of their advertiseme","Unspecified"
"13","receiving","Use"
"13","we stop sharing your information with a third party","Third party sharing/collection"
"13","You may request that we stop sharing your information with a third party or third parties for direct marketing purposes after you have opted into such disclosure through the Site(s) by emailing us at support@curse.com and informing us of your desire for us to stop providing your information to a specific third party or a list of specific third parties.","Third party sharing/collection"
"13","You may request that we stop sharing your information with a third party or third parties for direct marketing purposes after you have opted into such disclosure through the Site(s) by emailing us at support@curse.com and informing us of your desire for us to stop providing your information to a specific third party or a list of specific third parties.","Third party sharing/collection"
"17","If you would like more information about this practice and to know your choices about not having this information used by these companies, see the Digital Advertising Alliance's or Network Advertising Initiative's website.","Third party use"
"18","You may update or delete your personal information or modify your account preferences for the Curse Features by accessing the ""My Account"" area of the Curse Features or sending us an email to","First party use"
"19","eceive our newsletter, e-mails or other announcements,","First party use"
"19","eceive our newsletter, e-mails or other announcements,","First party use"
"19","If you no longer want to receive our newsletter, e-mails or other announcements,","First party use"
"19","If you no longer want to receive our newsletter, e-mails or other announcements,","First party use"
"19","If you wish to unsubscribe from any newsletters, offers, e-mails or other announcements from our third party advertising partners that you have opted into through the Site(s), you will need to contact such third party advertising partner directly through their independent website(s).","Third party use"
