"2","you choose to publicly post to or display on a Site","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"3","Information You Provide Directly To Us","Explicit"
"4","Information We Collect Automatically on Our Sites ""","Implicit"
"4","Information We Collect Automatically on Our Sites ""","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
"20","We, our advertisers, and our third party advertising companies may use information (not including your name, address, email address or telephone number) about your interaction with advertising on our Sites and your visits to this and other Web sites, including information collected through cookies,","Implicit"
"20","We, our advertisers, and our third party advertising companies may use information (not including your name, address, email address or telephone number) about your interaction with advertising on our Sites and your visits to this and other Web sites, including information collected through cookies,","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
"4","automatically","Implicit"
