"2","When you use Bing and MSN services with a web browser, we will place one or more ""cookies"" on your machine.","Unspecified"
"2","to operate the service and enable certain search features","Basic service/feature"
"2","to operate Bing and MSN services and provide you a more relevant search experience","Basic service/feature"
"3","help deliver cookies and compile analytics","Analytics/Research"
"3","deliver cookies and compile analytics.","Analytics/Research"
"4","in order to operate effectively and provide you the best products, services and experiences we can.","Basic service/feature"
"4","to operate effectively and provide you the best products, services and experiences we can","Basic service/feature"
"4","to operate effectively and provide you the best products, services and experiences we can","Basic service/feature"
"4","We also may get information from other companies","Unspecified"
"4","We collect this information in a variety of ways, including from web forms, technologies like cookies, web logging and software on your computer or other device.","Unspecified"
"5","When you conduct a search, Microsoft collects the following: Search term and time and date of your search IP address, browser configuration and your location Any unique identifiers contained in the cookies","Unspecified"
"5","When you conduct a search, Microsoft collects the following: Search term and time and date of your search IP address, browser configuration and your location Any unique identifiers contained in the cookies","Unspecified"
"5","When you conduct a search, Microsoft collects the following: Search term and time and date of your search IP address, browser configuration and your location Any unique identifiers contained in the cookies","Unspecified"
"5","When you conduct a search, Microsoft collects the following: Search term and time and date of your search IP address, browser configuration and your location Any unique identifiers contained in the cookies","Unspecified"
"5","When you conduct a search, Microsoft collects the following: Search term and time and date of your search IP address, browser configuration and your location Any unique identifiers contained in the cookies","Unspecified"
"7","provides search services to select partners and its users","Additional service/feature"
"7","provides search services to select partners and its users","Additional service/feature"
"7","provides search services to select partners and its users","Additional service/feature"
"8","to operate","Service Operation and Security"
"8","improve","Analytics/Research"
"8","and personalize the products and services","Personalization/Customization"
"8","to communicate with you","Basic service/feature"
"9","to provide you with relevant search results.","Basic service/feature"
"9","to maintain and improve the quality, security and integrity of our services","Service Operation and Security"
"9","to maintain and improve the quality, security and integrity of our services","Analytics/Research"
"9","to personalize your experience.","Personalization/Customization"
"10","for the purpose of personalizing","Personalization/Customization"
"10","the ads we display","Advertising"
"10","for the purpose of personalizing the ads","Advertising"
"10","the ads we display","Advertising"
"11","We will share your personal information with your consent.","Unspecified"
"11","when required by law or to respond to legal process;","Legal requirement"
"11","when required by law or to respond to legal process;","Legal requirement"
"11","to protect our customers; to protect lives; to maintain the security of our services; and to protect the rights or property of Microsoft.","Service operation and security"
"11","to protect our customers; to protect lives; to maintain the security of our services; and to protect the rights or property of Microsoft.","Service operation and security"
"12","for research purposes.","Analytics/Research"
"12","When you click on a link from a Bing search results page,","Basic service/feature"
"12","When you click on a link from a Bing search results page,","Basic service/feature"
"13","enabled to allow pages to pre-load in the background for faster performance","Other"
"13","enabled to allow pages to pre-load in the background for faster performance","Other"
"13","You can delete cookies using your browser settings","Unspecified"
"17","to provide you with the search results you are requesting","Basic service/feature"
"18","to personalize these and other Microsoft services and apps.","Personalization/Customization"
"19","If you've allowed a Microsoft service or application that uses Bing services to access your location, the location of your device will be sent to Microsoft along with the search terms, time and date of your search, and a unique identifier generated by the Microsoft service or application.","Unspecified"
"19","If you've allowed a Microsoft service or application that uses Bing services to access your location, the location of your device will be sent to Microsoft along with the search terms, time and date of your search, and a unique identifier generated by the Microsoft service or application.","Unspecified"
"19","If you've allowed a Microsoft service or application that uses Bing services to access your location, the location of your device will be sent to Microsoft along with the search terms, time and date of your search, and a unique identifier generated by the Microsoft service or application.","Unspecified"
"19","Mapping features","Additional service/feature"
"19","Mapping features","Additional service/feature"
"20","lso, if you connect a Bing Service or app to another service that has ""Check-in"" or ""Reminder"" features, such as Facebook or Foursquare,","Additional service/feature"
"20","lso, if you connect a Bing Service or app to another service that has ""Check-in"" or ""Reminder"" features, such as Facebook or Foursquare,","Additional service/feature"
"24","n order to recognize your computer when we display an ad to you.","Advertising"
"24","and use the information to help provide more relevant ads.","Advertising"
"25","You may opt out of receiving targeted ads from Microsoft Advertising by visiting our Your privacy and Microsoft personalized ads.","Advertising"
"26","promotional email","Marketing"
"26","promotional email, telephone calls and postal mail","Marketing"
"28","When you create a Microsoft account, we ask you to provide certain information.","Unspecified"
"28","in order to verify your identity on behalf of the site or service","Basic service/feature"
"28","to protect you from malicious account usage and to protect the efficiency and security of the Microsoft account service.","Service Operation and Security"
"28","We also send some of this information to sites and services that you sign in to with your Microsoft account.","Unspecified"
"29","from your Microsoft account to provide personalized ads to you.","Advertising"
"29","from your Microsoft account to provide personalized ads to you.","Advertising"
"29","from your Microsoft account to provide personalized ads to you.","Advertising"
"29","Advertising","Advertising"
"2","We use these cookies to operate Bing and MSN services and provide you a more relevant search experience","Basic service/feature"
"3","compile analytics","Analytics/Research"
"4","operate effectively and provide you the best products, services and experiences we can","Basic service/feature"
"4","operate effectively and provide you the best products, services and experiences we can","Basic service/feature"
"7","provides search services to select partners","Basic service/feature"
"8","operate, improve and personalize the products and services we offer","Personalization/Customization"
"9","provide you with relevant search results. We also use the information we collect to maintain and improve the quality, security and integrity of our services.","Basic service/feature"
"9","research purposes and to improve the relevancy of Bing search results","Analytics/Research"
"9","This information is also necessary in order to detect and protect against security threats such as botnet attacks, click fraud, worms, and other threats","Service Operation and Security"
"9","we may also use this information to personalize your experience","Personalization/Customization"
"10","personalizing the ads we display","Advertising"
"11","when required by law or to respond to legal process","Legal requirement"
"11","to protect our customers; to protect lives; to maintain the security of our services; and to protect the rights or property of Microsoft.","Service operation and security"
"12","research purposes.","Analytics/Research"
"13","allow pages to pre-load","Service Operation and Security"
"14","customize your search experience and provide features that are most relevant to you and your interests","Personalization/Customization"
"15","using the search terms you enter and the results you click, search history provides an easy way to revisit the sites and searches you've used before.","Basic service/feature"
"16","enhanced features and convenient ways to access information such as weather forecasts, traffic reports or internet search results","Basic service/feature"
"17","provide you with the search results you are requesting","Basic service/feature"
"18","enhanced experience when you connect these services to your Microsoft account","Personalization/Customization"
"20","Check-in"" or ""Reminder""","Additional service/feature"
"24","use the information to help provide more relevant ads","Advertising"
"25","personalized ads","Advertising"
"26","promotional email","Marketing"
"28","verify your identity on behalf of the site or service, to protect you from malicious account usage and to protect the efficiency and security of the Microsoft account service.","Service Operation and Security"
"29","provide personalized ads to you","Advertising"
"2","to operate Bing and MSN services","Service Operation and Security"
"2","to operate Bing and MSN services","Service Operation and Security"
"2","to operate the service and enable certain search features.","Basic service/feature"
"3","to help deliver cookies and compile analytics","Analytics/Research"
"3","to help deliver cookies and compile analytics","Analytics/Research"
"4","to operate effectively and provide you the best products, services and experiences we can","Service Operation and Security"
"4","to operate effectively and provide you the best products, services and experiences we can","Service Operation and Security"
"4","to operate effectively and provide you the best products, services and experiences we can","Service Operation and Security"
"4","to operate effectively and provide you the best products, services and experiences we can","Service Operation and Security"
"7","Bing provides search services to select partners and its users. Some examples include Yahoo! and Nokia. In order to provide these services","Other"
"7","Bing provides search services to select partners and its users. Some examples include Yahoo! and Nokia. In order to provide these services","Other"
"7","Bing provides search services to select partners and its users. Some examples include Yahoo! and Nokia. In order to provide these services","Other"
"7","Bing provides search services to select partners and its users. Some examples include Yahoo! and Nokia. In order to provide these services","Other"
"8","to operate,","Service Operation and Security"
"8","improve and personalize the products and services we offer","Analytics/Research"
"8","to communicate with you","Other"
"9","to provide you with relevant search results","Basic service/feature"
"9","to maintain and improve the quality, security and integrity of our services","Service Operation and Security"
"9","for research purposes and to improve the relevancy of Bing search results","Analytics/Research"
"9","in order to detect and protect against security threats","Service Operation and Security"
"9","to provide you with relevant search results","Basic service/feature"
"9","to maintain and improve the quality, security and integrity of our services","Service Operation and Security"
"9","for research purposes and to improve the relevancy of Bing search results","Analytics/Research"
"9","to personalize your experience","Personalization/Customization"
